Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude,mn_earn_wne_male1_p6,count_nwne_p8,count_wne_p8,mn_earn_wne_p8,md_earn_wne_p8,HI_INC_WDRAW_4YR_TRANS_YR4_RT
11046803,1111706,11117,941331221,0,0,6,0,NULL,NULL,60400,63,405,55100,50700,0
11046804,1111704,11117,926061221,0,0,6,0,NULL,NULL,60400,63,405,55100,50700,0
11046805,1111710,11117,958331221,0,0,6,0,NULL,NULL,60400,63,405,55100,50700,0
110486,799300,7993,93311-1099,0,1,1,3,35.35,-119.1047,43000,291,1925,43800,42300,0.041666667
110495,115700,1157,95382-0299,0,1,1,3,37.5258,-120.8525,37500,254,1888,40100,38500,PrivacySuppressed
110510,114200,1142,92407-2397,0,1,1,3,34.183,-117.3225,38200,552,3762,42300,40600,0.021212121
110529,114400,1144,91768,0,1,1,3,34.0543,-117.819,42700,433,3946,48100,45000,PrivacySuppressed
110538,114600,1146,95929-0150,0,1,1,3,39.728,-121.8463,40200,414,3594,45900,41100,0.01849711
110547,114100,1141,90747-0005,0,1,1,3,33.8652,-118.2593,37800,324,2641,42500,39100,PrivacySuppressed
110556,114700,1147,93740,0,1,1,3,36.8145,-119.7483,39900,537,4757,40700,38100,PrivacySuppressed
110565,113700,1137,92831-3599,0,1,1,3,33.8836,-117.8853,39800,795,6364,43800,40500,PrivacySuppressed
110574,113800,1138,94542,0,1,1,3,37.6571,-122.0581,44200,329,2361,48400,45800,0.025761124
110583,113900,1139,90840-0115,0,1,1,3,33.7828,-118.1123,39800,680,5955,45300,42400,PrivacySuppressed
110592,114000,1140,90032,0,1,1,3,34.0669,-118.169,38800,591,4511,42200,39400,PrivacySuppressed
110608,115300,1153,91330,0,1,1,3,34.2367,-118.5268,37900,968,7257,41900,38300,PrivacySuppressed
110617,115000,1150,95819-2694,0,1,1,3,38.5575,-121.4219,42200,772,5864,45200,42700,0.020833333
110635,131200,1312,94720,0,1,1,3,37.8715,-122.2604,59000,692,4340,62500,53000,PrivacySuppressed
110644,131300,1313,95616-8678,0,1,1,3,38.5399,-121.752,44900,635,5144,54800,48500,PrivacySuppressed
110653,131400,1314,92697,0,1,1,3,33.667,-117.7686,42700,471,3936,52000,47100,PrivacySuppressed
110662,131500,1315,90095-1405,0,1,1,3,34.0689,-118.4439,51200,693,5287,60000,51000,PrivacySuppressed
110671,131600,1316,92521,0,1,1,3,33.9759,-117.3311,37300,479,3984,43800,41100,PrivacySuppressed
110680,131700,1317,92093,0,1,1,3,32.8766,-117.2378,45200,517,4204,56800,50100,PrivacySuppressed
110699,131900,1319,94143-0244,0,1,1,4,37.7627,-122.458,98500,12,422,130600,123700,0
110705,132000,1320,93106,0,1,1,3,34.4155,-119.8481,40300,428,3995,50300,45600,PrivacySuppressed
110714,132100,1321,95064-1011,0,1,1,3,36.9973,-122.068,34900,383,2819,42200,37800,PrivacySuppressed
110778,2267600,22676,94303,0,1,1,4,37.4303,-122.1087,NULL,NULL,NULL,NULL,NULL,NULL
110875,2065700,20657,95354,0,1,1,1,37.6452,-120.9969,PrivacySuppressed,16,43,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
110918,884400,8844,93703-3599,0,1,1,3,36.7676,-119.7328,PrivacySuppressed,8,18,PrivacySuppressed,PrivacySuppressed,0
110945,2110800,21108,92111-1009,0,1,3,2,32.7702,-117.1338,36900,36,189,48300,49900,PrivacySuppressed
111009,2220200,22202,94103,0,1,1,1,37.7654,-122.4026,34000,437,2135,37800,32800,PrivacySuppressed
111054,1186500,11865,91941-5055,0,1,1,1,32.7652,-117.0243,PrivacySuppressed,50,139,20200,15900,0
111081,113200,1132,91355-2397,0,1,1,3,34.3933,-118.5673,34800,57,343,42200,28600,PrivacySuppressed
111188,113400,1134,94590,0,1,1,3,38.0691,-122.2316,PrivacySuppressed,16,219,77100,74300,PrivacySuppressed
111391,1310300,13103,92101-3046,0,1,1,4,32.7219,-117.1626,78000,22,184,86300,73500,NULL
111434,697300,6973,94061-1099,0,1,1,2,37.4474,-122.2655,33200,73,264,33200,27200,0
111461,890300,8903,91355-1899,0,1,1,2,34.4031,-118.5695,33400,156,748,41000,32200,0.1375
111513,2125000,21250,92845,0,1,1,1,33.781,-118.0317,PrivacySuppressed,67,165,22100,15500,PrivacySuppressed
111638,673100,6731,91405,0,1,2,1,34.1954,-118.4483,46600,42,258,48300,45300,PrivacySuppressed
11163801,673101,6731,902503327,0,0,2,0,NULL,NULL,46600,42,258,48300,45300,PrivacySuppressed
111708,2332809,23328,92102,0,0,17,1,32.7117,-117.1225,25300,848,2562,24000,20500,0
111717,2332800,23328,95110,0,1,17,1,37.3227,-121.887,25300,848,2562,24000,20500,0
111726,2332810,23328,92243,0,0,17,1,32.7909,-115.5491,25300,848,2562,24000,20500,0
111744,2332814,23328,92408,0,0,17,1,34.0751,-117.2687,25300,848,2562,24000,20500,0
111762,2332819,23328,95076,0,0,17,1,36.9318,-121.768,25300,848,2562,24000,20500,0
111771,2332808,23328,95020,0,0,17,1,37.0157,-121.5614,25300,848,2562,24000,20500,0
111799,2332813,23328,93901,0,0,17,1,36.6716,-121.6528,25300,848,2562,24000,20500,0
111887,116100,1161,90650-6298,0,1,1,2,33.8858,-118.0973,30800,755,3576,31000,26800,PrivacySuppressed
111896,1011100,10111,93555-9571,0,1,1,2,35.5678,-117.6677,31600,299,585,31100,24800,PrivacySuppressed
111920,116200,1162,94545,0,1,1,2,37.6425,-122.107,32600,474,1396,35800,31100,PrivacySuppressed
111939,116300,1163,91737-3002,0,1,1,2,34.1471,-117.5731,27900,670,2413,31900,26300,PrivacySuppressed
111948,116400,1164,92866,0,1,1,3,33.7937,-117.8515,47600,363,3037,49800,48000,0.062318841
111966,1036500,10365,90059,0,1,1,2,33.9257,-118.2428,73400,37,159,68800,69300,0
112075,2070500,20705,92612-3203,0,1,1,3,33.6535,-117.8106,40100,75,494,41500,38000,0.087179487
112084,1203100,12031,92019-1157,0,1,1,3,32.8,-116.9031,35900,37,217,34600,31000,PrivacySuppressed
112127,116500,1165,94709-1211,0,1,1,4,37.8762,-122.2614,NULL,NULL,NULL,NULL,NULL,NULL
112172,116600,1166,91741-1899,0,1,1,2,34.1355,-117.8853,26400,494,1800,30500,26300,PrivacySuppressed
112181,2178700,21787,95610-1410,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112190,450200,4502,94112-1898,0,1,1,1,37.726,-122.4512,29800,1081,3366,36000,30100,PrivacySuppressed
112251,116900,1169,91711-6160,0,1,1,4,34.1038,-117.7124,PrivacySuppressed,18,95,58800,59400,NULL
112260,117000,1170,91711-6400,0,1,1,3,34.1023,-117.7066,66600,18,157,70800,55600,PrivacySuppressed
112288,2497300,24973,93277,0,1,2,1,36.2841,-119.3134,25900,442,1299,24300,22300,PrivacySuppressed
112367,2309500,23095,93611,0,1,1,1,36.8369,-119.6902,PrivacySuppressed,32,134,34600,33200,NULL
112385,2063500,20635,92708-2597,0,1,1,2,33.6098,-117.8618,36900,146,366,36700,30400,PrivacySuppressed
112394,117700,1177,94089,0,1,1,3,37.407,-122.0242,PrivacySuppressed,17,82,59700,49000,PrivacySuppressed
112446,729600,7296,92123-1506,0,1,1,2,32.822,-117.1365,41400,114,545,42500,40200,0
112455,3577300,35773,92866,0,1,1,1,33.7883,-117.8535,PrivacySuppressed,17,47,PrivacySuppressed,PrivacySuppressed,0
112525,2482700,24827,91766-1854,0,1,1,4,34.0581,-117.7477,PrivacySuppressed,4,156,130400,110400,0
112561,770700,7707,95370,0,1,1,2,38.0304,-120.3876,26700,149,354,27700,22700,NULL
112570,2110200,21102,91356-1411,0,1,1,3,34.1796,-118.5384,PrivacySuppressed,19,85,35200,32900,PrivacySuppressed
112686,119701,1197,90221-5393,0,0,2,2,33.8767,-118.2092,29200,522,2325,31700,27200,PrivacySuppressed
112826,119000,1190,94806-3195,0,1,1,2,37.9686,-122.3424,28100,334,878,33400,26800,PrivacySuppressed
113096,753600,7536,95823-5799,0,1,1,2,38.4538,-121.423,26900,550,1667,29100,26200,PrivacySuppressed
113111,927200,9272,92339-1799,0,1,1,2,34.0385,-117.1008,35600,191,648,33700,26900,PrivacySuppressed
113193,119200,1192,93403-8106,0,1,1,2,35.3299,-120.7416,32400,273,1130,35600,31300,PrivacySuppressed
113218,2111300,21113,92019,0,1,1,2,32.7431,-116.941,29200,237,568,28100,22100,PrivacySuppressed
113236,119300,1193,90630-5897,0,1,1,2,33.8276,-118.0239,31600,473,1677,35700,30200,PrivacySuppressed
113333,448000,4480,95014,0,1,1,2,37.3192,-122.0454,32500,410,1561,40700,34900,PrivacySuppressed
113397,3467300,34673,92545,0,1,10,1,33.746,-116.9999,PrivacySuppressed,26,64,17300,13300,0
11339701,3467305,34673,90201,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339702,3467304,34673,91748,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339703,3467306,34673,90723,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339704,3467307,34673,92646,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339705,3467309,34673,84041,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339706,3467308,34673,84405,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339707,3467301,34673,92234,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339708,3467302,34673,92563,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11339709,3467303,34673,94559,0,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
113449,3964400,39644,92260-2740,0,1,1,1,33.7296,-116.4039,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL
113537,3025600,30256,95525-0816,0,1,1,1,40.8809,-123.9889,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
113573,118200,1182,92260,0,1,1,2,33.7325,-116.3876,27900,278,1163,32000,27200,PrivacySuppressed
113582,2298000,22980,92121,0,1,1,3,32.731,-117.1498,PrivacySuppressed,60,211,33400,33300,PrivacySuppressed
113634,119100,1191,94523,0,1,1,1,37.968,-122.0699,34100,323,983,36400,31500,PrivacySuppressed
113698,119600,1196,94901-2298,0,1,1,3,37.98,-122.5147,47100,85,613,54600,48700,0.062893082
113704,129600,1296,94708-1816,0,1,1,4,37.8811,-122.2646,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
113856,2226000,22260,91754-6099,0,1,1,1,34.0392,-118.1484,28400,579,2806,31100,27300,PrivacySuppressed
113908,2086400,20864,95050,0,1,5,1,37.348,-121.9478,PrivacySuppressed,10,18,PrivacySuppressed,PrivacySuppressed,0
11390801,2086401,20864,93955,0,0,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11390802,2086402,20864,94401,0,0,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11390803,2086403,20864,94541,0,0,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11390804,2086404,20864,94546,0,0,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
113980,119700,1197,90506,0,1,2,2,33.8856,-118.3266,29200,522,2325,31700,27200,PrivacySuppressed
114044,2091200,20912,90028-6106,0,1,1,1,34.0622,-118.3383,PrivacySuppressed,17,64,20900,16700,0
114071,1265000,12650,91502,0,1,2,1,34.1819,-118.3097,PrivacySuppressed,36,71,17100,13500,PrivacySuppressed
11407101,1265001,12650,935504,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
114080,2221300,22213,92553,0,1,2,1,33.916,-117.2281,PrivacySuppressed,26,58,19500,16900,PrivacySuppressed
11408001,2221303,22213,949013224,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
114114,2609000,26090,90403,0,1,1,4,34.0303,-118.4847,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
114123,903200,9032,95403-2126,0,1,1,1,38.4678,-122.7286,30000,103,368,29500,28700,PrivacySuppressed
114266,1245200,12452,95135-1598,0,1,1,2,37.3017,-121.7667,31500,293,1280,34800,29000,PrivacySuppressed
114354,1111200,11112,90015-1421,0,1,4,2,34.0442,-118.2599,33700,596,2669,36800,33400,PrivacySuppressed
114390,1111202,11112,94108-5805,0,0,4,2,37.7863,-122.4065,33700,596,2669,36800,33400,PrivacySuppressed
114415,1111203,11112,92614-5610,0,0,4,2,33.692,-117.8523,33700,596,2669,36800,33400,PrivacySuppressed
114433,859700,8597,95971-9124,0,1,1,2,39.9524,-120.9709,27300,84,226,27500,22600,PrivacySuppressed
114460,725300,7253,95834,0,1,1,1,38.6488,-121.4978,PrivacySuppressed,88,213,27900,23400,PrivacySuppressed
114549,2096100,20961,93105-3538,0,1,1,4,34.4344,-119.7139,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL
114585,3131300,31313,95062,0,1,2,4,36.9641,-121.9985,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
11458501,3131301,31313,951282541,0,0,2,0,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
114628,1298500,12985,92867,0,1,1,1,33.8058,-117.8367,NULL,NULL,NULL,NULL,NULL,NULL
114716,119900,1199,94022,0,1,1,2,37.3611,-122.1283,46600,149,552,55200,43500,PrivacySuppressed
114734,1179200,11792,94709-1208,0,1,2,4,37.8771,-122.2609,NULL,NULL,NULL,NULL,NULL,NULL
11473401,1179201,11792,92057,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114761,2230900,22309,95501,0,1,1,1,40.7988,-124.1658,PrivacySuppressed,16,48,PrivacySuppressed,PrivacySuppressed,0
114789,130700,1307,93741,0,1,1,2,36.7675,-119.7951,25500,1622,5431,27900,23400,PrivacySuppressed
114813,125300,1253,93702-4709,0,1,1,3,36.7253,-119.732,37800,88,629,38800,37600,PrivacySuppressed
114840,120000,1200,91182,0,1,1,4,34.1478,-118.1403,PrivacySuppressed,0,25,PrivacySuppressed,PrivacySuppressed,0
114859,120100,1201,92832-2095,0,1,1,2,33.8768,-117.917,31100,506,2015,31800,27800,PrivacySuppressed
114938,120200,1202,95020,0,1,1,2,36.9733,-121.5682,28300,154,481,31600,24700,PrivacySuppressed
114947,2231900,22319,92008,0,1,2,1,33.1313,-117.3188,34300,48,175,42000,38600,0
115001,120300,1203,91208-2894,0,1,1,2,34.1664,-118.2283,27700,678,2451,32400,27000,0
115010,2338500,23385,91203,0,1,2,1,34.1496,-118.2549,33900,338,1188,30300,26800,PrivacySuppressed
115083,120500,1205,94105-2968,0,1,4,3,37.7892,-122.3988,76200,37,233,70000,60200,0
11508303,120518,1205,900175418,0,0,4,0,NULL,NULL,76200,37,233,70000,60200,0
11508305,120522,1205,981012218,0,0,4,0,NULL,NULL,76200,37,233,70000,60200,0
11508306,120504,1205,950542218,0,0,4,0,NULL,NULL,76200,37,233,70000,60200,0
115126,120600,1206,92647-2710,0,1,1,1,33.7338,-118.003,27800,424,1555,33200,27400,PrivacySuppressed
115214,120700,1207,94709,0,1,1,4,37.8755,-122.2618,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
115296,120800,1208,92020-1799,0,1,1,2,32.8161,-117.0073,30200,466,1740,35000,29800,PrivacySuppressed
115357,2211000,22110,92405,0,1,1,1,34.136,-117.2876,PrivacySuppressed,24,41,PrivacySuppressed,PrivacySuppressed,0
115393,120900,1209,93901,0,1,1,2,36.6731,-121.6688,31200,222,1098,31400,26800,0
115409,117100,1171,91711,0,1,1,3,34.1061,-117.7106,PrivacySuppressed,8,104,76300,68300,PrivacySuppressed
115454,723411,7234,95670,0,0,12,2,38.5944,-121.2801,30700,160,607,31800,29800,PrivacySuppressed
115472,723412,7234,93704,0,0,12,2,36.8224,-119.7955,27400,203,736,26600,25300,0
115490,723405,7234,95035-8008,0,0,12,2,37.4109,-121.8939,35300,138,650,36400,33200,PrivacySuppressed
115515,723400,7234,94103,0,1,12,2,37.7819,-122.4043,34100,379,1695,34300,31400,PrivacySuppressed
115533,723404,7234,94520-0522,0,0,12,2,38.0189,-122.03,33700,212,673,34700,32600,PrivacySuppressed
115658,2285100,22851,94014,0,1,1,1,37.7055,-122.4617,PrivacySuppressed,50,114,22300,17400,NULL
115728,118300,1183,94619-1699,0,1,1,3,37.8027,-122.1872,37900,30,253,52900,45800,PrivacySuppressed
115746,3126800,31268,93013,0,1,1,4,34.4205,-119.5803,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL
115755,114900,1149,95521-8299,0,1,1,3,40.8741,-124.0814,29300,373,2035,34200,30400,PrivacySuppressed
115773,121200,1212,95207-3896,0,1,2,3,38.0111,-121.3164,PrivacySuppressed,98,295,28100,23400,0
11577301,121203,1212,953560532,0,0,2,0,NULL,NULL,PrivacySuppressed,98,295,28100,23400,0
115861,121400,1214,92251-0158,0,1,1,2,32.8276,-115.5039,27000,454,1821,26200,20700,0
115931,2128300,21283,95051-1303,0,1,3,1,37.3686,-121.9695,32300,376,1141,33500,31100,PrivacySuppressed
116226,2520300,25203,92660,0,1,1,1,33.6414,-117.8657,PrivacySuppressed,35,81,38100,29500,0
116350,2255400,22554,90401,0,1,3,1,34.0175,-118.4949,PrivacySuppressed,15,44,PrivacySuppressed,PrivacySuppressed,0
11635001,2255401,22554,92626,0,0,3,0,NULL,NULL,PrivacySuppressed,15,44,PrivacySuppressed,PrivacySuppressed,0
116439,2539500,25395,92618-0301,0,1,2,1,33.6751,-117.7786,32100,220,652,35300,30000,PrivacySuppressed
11643901,2539501,25395,927820223,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
116466,732981,7329,91950,0,0,141,2,32.8071,-117.1197,35900,574,3762,38800,35100,PrivacySuppressed
116475,732985,7329,91773,0,0,141,2,34.1024,-117.8184,35900,574,3762,38800,35100,PrivacySuppressed
116484,732909,7329,92868,0,0,141,2,33.7812,-117.8963,35900,574,3762,38800,35100,PrivacySuppressed
116563,1202600,12026,92021,0,1,1,1,32.7948,-116.9457,PrivacySuppressed,82,262,24000,20300,0
116712,448400,4484,94523-4817,0,1,1,3,37.8818,-122.184,PrivacySuppressed,13,87,54200,44900,0
116846,274100,2741,90077-1519,0,1,1,3,34.1281,-118.4718,PrivacySuppressed,10,37,PrivacySuppressed,PrivacySuppressed,0
117052,130800,1308,93654,0,1,1,2,36.606,-119.4599,25000,755,2897,25800,21600,PrivacySuppressed
117104,2270600,22706,91773-3298,0,1,1,3,34.0894,-117.831,31300,35,183,28100,24900,PrivacySuppressed
117113,2179947,21799,92108-4423,0,0,28,3,32.7783,-117.1554,41900,205,1279,41400,36700,PrivacySuppressed
117140,121600,1216,91750-4401,0,1,1,3,34.1009,-117.7726,46400,163,1453,47900,45300,PrivacySuppressed
117168,2330500,23305,92651,0,1,1,3,33.5614,-117.7726,PrivacySuppressed,22,95,36300,26400,PrivacySuppressed
117195,1290700,12907,96150,0,1,1,2,38.9269,-119.9716,25600,69,185,26500,20900,0
117238,1301000,13010,93534,0,1,1,1,34.6956,-118.1487,PrivacySuppressed,73,173,19200,15100,0
117247,126600,1266,94607,0,1,1,2,37.7962,-122.2624,24400,508,1252,29100,23700,0
117274,121700,1217,96130,0,1,1,2,40.4313,-120.6312,27900,134,370,27900,22700,PrivacySuppressed
117520,2228500,22285,94545-2800,0,1,1,4,37.6376,-122.1163,NULL,NULL,NULL,NULL,NULL,NULL
117557,697500,6975,94612-2801,0,1,1,2,37.8048,-122.2697,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
117575,3332300,33323,92019-1108,0,1,1,3,32.8033,-116.9005,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
117627,121500,1215,92515-8247,0,1,1,3,33.9088,-117.4971,34000,67,532,45000,37300,PrivacySuppressed
117636,121800,1218,92350,0,1,1,3,34.0515,-117.2611,78000,62,770,84400,76200,PrivacySuppressed
117645,121900,1219,90808-1706,0,1,1,1,33.8317,-118.1358,26600,1554,4734,29400,24800,PrivacySuppressed
117672,122900,1229,90604,0,1,1,4,33.9246,-117.9854,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
117690,122400,1224,90744-2397,0,1,1,2,33.7842,-118.2819,31200,359,1363,33200,28400,0
117706,122600,1226,91371-0002,0,1,1,2,34.1842,-118.5772,29200,482,1633,34700,29900,PrivacySuppressed
117715,704700,7047,90047-4899,0,1,1,2,33.9296,-118.3047,26100,342,1170,26500,22800,0
117724,122700,1227,90015-4181,0,1,1,1,34.0326,-118.2691,30400,614,1905,28600,24200,NULL
117733,122800,1228,91401-4096,0,1,1,1,34.1764,-118.4214,28800,519,1891,33000,27200,0
117751,122000,1220,91321-1200,0,1,1,3,34.3821,-118.5174,42300,68,400,42500,35400,0.112244898
117788,122300,1223,90029,0,1,1,2,34.0873,-118.2922,25300,1007,2041,29200,23500,0
117803,616500,6165,90033-1084,0,1,1,2,34.0616,-118.2114,PrivacySuppressed,10,119,84400,85200,0
117867,1255000,12550,91342-3200,0,1,1,2,34.3149,-118.4191,29600,288,1140,29400,25100,0
117894,1034000,10340,94565,0,1,1,2,38.0056,-121.8611,35100,217,560,34300,29100,0
117928,2179943,21799,94102-4908,0,0,28,3,37.804,-122.4172,41900,205,1279,41400,36700,PrivacySuppressed
117946,1164900,11649,90045-2659,0,1,1,3,33.9706,-118.4157,49900,154,1450,58000,49600,PrivacySuppressed
117955,1186600,11866,93001-2729,0,1,1,1,34.278,-119.294,NULL,NULL,NULL,NULL,NULL,0
118116,1231600,12316,93726,0,1,1,1,36.7929,-119.7912,PrivacySuppressed,36,123,17200,13600,0
118125,1231700,12317,93274,0,1,1,1,36.2041,-119.3679,PrivacySuppressed,7,33,PrivacySuppressed,PrivacySuppressed,NULL
118143,714200,7142,93710,0,1,1,1,36.8363,-119.7737,PrivacySuppressed,78,219,15800,13300,NULL
118161,1324000,13240,95403,0,1,1,1,38.5086,-122.7585,PrivacySuppressed,25,72,20800,17100,0
118189,2546400,25464,95207-4349,0,1,1,1,38.0073,-121.3085,PrivacySuppressed,111,194,21900,20600,0
118198,1291200,12912,95841-9817,0,1,1,1,38.6614,-121.3426,32400,190,497,30500,29900,PrivacySuppressed
118259,2351900,23519,95821,0,1,2,1,38.6445,-121.3805,25500,209,492,26600,23400,0
118277,2091700,20917,92123,0,1,2,1,32.8217,-117.133,43400,219,1029,39000,34800,PrivacySuppressed
118286,2549000,25490,92083-7736,0,1,2,1,33.1724,-117.2208,29900,204,802,28800,27200,PrivacySuppressed
118347,117800,1178,94904-2590,0,1,1,2,37.955,-122.5499,29800,224,680,37200,30100,0
118356,747600,7476,90023,0,1,14,1,34.0275,-118.2199,21100,303,722,18600,15100,0
11835602,747609,7476,90602,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835603,747604,7476,91335,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835605,747608,7476,91764,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835606,747611,7476,92126,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835607,747607,7476,92410,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835608,747606,7476,91790,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835609,747602,7476,90048,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835610,747603,7476,90301,0,0,14,0,NULL,NULL,21100,303,722,18600,15100,0
11835611,747612,7476,92020,0,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11835612,747613,7476,92392,0,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11835613,747614,7476,92801,0,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11835614,747615,7476,93065,0,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11835615,747610,7476,90717,0,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
118541,1047400,10474,90275-6299,0,1,1,2,33.7346,-118.3334,29900,50,209,34000,31800,PrivacySuppressed
118684,1167200,11672,95482,0,1,1,2,39.1912,-123.229,27000,218,492,25700,22400,PrivacySuppressed
118693,123600,1236,94027-4301,0,1,1,3,37.4529,-122.1814,37600,29,294,45900,41700,PrivacySuppressed
118718,123700,1237,95348-2898,0,1,1,2,37.3353,-120.4767,24100,614,1955,26200,22400,PrivacySuppressed
118772,126700,1267,94619-3196,0,1,1,2,37.7891,-122.1673,33600,286,685,35200,28300,0
118888,123800,1238,94613,0,1,1,3,37.7826,-122.1879,PrivacySuppressed,48,284,36900,32800,PrivacySuppressed
118912,123900,1239,92056-3899,0,1,1,1,33.1912,-117.3023,28500,186,642,29400,25500,0
118921,2338700,23387,94103,0,1,4,1,37.7795,-122.4104,PrivacySuppressed,28,125,27800,22200,0
11892101,2338701,23387,95926,0,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11892102,2338702,23387,96001,0,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
11892103,2338703,23387,93711,0,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
118930,2119100,21191,95054-1897,0,1,1,2,37.3913,-121.9822,32900,204,659,36300,30100,0
118958,720400,7204,93030,0,1,1,1,34.1954,-119.1814,PrivacySuppressed,24,86,21100,17900,NULL
118967,2539100,25391,91606-3231,0,1,2,1,34.1827,-118.3961,41700,161,714,40400,34300,0
118976,124000,1240,95350-5800,0,1,1,2,37.652,-121.0097,26900,688,2475,30100,25000,PrivacySuppressed
118994,2185800,21858,94609-2419,0,1,1,1,37.8268,-122.2651,PrivacySuppressed,19,21,PrivacySuppressed,PrivacySuppressed,NULL
119058,369110,3691,93940,0,0,2,3,36.5998,-121.8968,55700,55,424,60900,49100,0
119067,124200,1242,93940-4799,0,1,1,2,36.5908,-121.8858,31300,179,498,37200,31300,0
119137,711500,7115,93021-1695,0,1,1,2,34.3,-118.8366,33000,132,647,37200,31500,PrivacySuppressed
119164,124500,1245,91789-1399,0,1,1,2,34.0438,-117.8437,31600,535,2525,34200,28200,PrivacySuppressed
119173,124300,1243,90049-1599,0,1,2,3,34.0821,-118.4805,63900,74,682,57200,50300,PrivacySuppressed
11917301,124301,1243,90007,0,0,2,0,NULL,NULL,63900,74,682,57200,50300,PrivacySuppressed
119216,124600,1246,92583-2399,0,1,1,2,33.8074,-116.9701,29800,562,1448,28700,23200,PrivacySuppressed
119234,3933300,39333,92108-3002,0,1,1,1,32.7639,-117.1643,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
119270,2161800,21618,90028,0,1,1,1,34.1015,-118.3377,26000,176,564,31800,24400,PrivacySuppressed
119331,124700,1247,94558-6236,0,1,1,2,38.2725,-122.2726,34700,142,614,40600,33000,0
119340,1102400,11024,94103-9946,0,1,1,1,37.7845,-122.4048,28100,415,1794,28400,26700,0
119359,1110900,11109,91335-4631,0,1,3,1,34.2008,-118.5267,26700,280,1097,28200,27300,0
119368,760600,7606,90010,0,1,1,1,34.0613,-118.2993,25300,282,1066,22600,20100,PrivacySuppressed
119438,1206100,12061,95128,0,1,1,1,37.3028,-121.9507,32500,304,1163,30400,29200,PrivacySuppressed
